question_id,question,expected_route,template_id
g086,"Show ""Metal stamping and assemblies"" companies near ""Gray, Jones County"" along with supporting document evidence.",hybrid_search,hybrid_location_evidence
g087,Hi there!,no_retrieval,no_retrieval_fixed
g088,"Which suppliers are located closest to ""Morrow, Clayton County""?",geo_search,geo_closest
g089,Which companies have more than 25 employees?,structured_sql,sql_employment_threshold
g090,"What is the supply chain risk if ""big tex trailer manufacturing inc."" experiences a disruption?",disruption_analysis,disruption_risk
g091,"What are the alternatives if ""hwashin"" shuts down?",disruption_analysis,disruption_alternatives
g092,"How many employees does ""jefferson southern corporation"" have?",exact_lookup,exact_employment
g093,Give me a recipe for chocolate chip cookies.,out_of_domain,out_of_domain_fixed
g094,"Show all suppliers with primary OEM ""Blue Bird"".",structured_sql,sql_oem_filter
g095,"Where is ""vernay"" located?",exact_lookup,exact_location
g096,"Which ""Tier 1"" suppliers with a ""EV and ICE powertrain and HVAC components"" role have web evidence of recent expansion?",hybrid_search,hybrid_category_evidence
g097,"What are the alternatives if ""magna international"" shuts down?",disruption_analysis,disruption_alternatives
g098,"Describe how companies with a ""Power Electronics"" role fit into EV manufacturing.",vector_search,vector_role_topic
g099,"Which ""Tier 2/3"" suppliers with a ""Advanced electrical architecture for EVs"" role have web evidence of recent expansion?",hybrid_search,hybrid_category_evidence
g100,Can you tell me more about them?,clarification_needed,clarification_needed_fixed
g101,"Describe how companies with a ""Vehicle Assembly"" role fit into EV manufacturing.",vector_search,vector_role_topic
g102,"Show ""Paper and Allied Products"" companies near ""Covington, Morgan County"" along with supporting document evidence.",hybrid_search,hybrid_location_evidence
g103,"Show ""Automotive electronics and safety systems"" companies near ""Pendergrass, Jackson County"" along with supporting document evidence.",hybrid_search,hybrid_location_evidence
g104,"Show companies within 25 miles of ""Dahlonega, Lumpkin County"".",geo_search,geo_radius
g105,"What is the supply chain risk if ""haering precision usa lp"" experiences a disruption?",disruption_analysis,disruption_risk
g106,"Describe how companies with a ""Charging Infrastructure"" role fit into EV manufacturing.",vector_search,vector_role_topic
g107,Thanks for your help.,no_retrieval,no_retrieval_fixed
g108,"Find documents that mention the exact phrase ""Automotive fiber padding"".",keyword_search,keyword_phrase
g109,"Show all suppliers with primary OEM ""Mercedes-Benz USA LLC"".",structured_sql,sql_oem_filter
g110,"Which suppliers are located closest to ""Covington, Morgan County""?",geo_search,geo_closest
g111,"Search for the exact term ""HV and LV wiring harnesses for EVs and ICE vehicles"" in supplier documents.",keyword_search,keyword_role
g112,"Which suppliers are located closest to ""Dahlonega, Lumpkin County""?",geo_search,geo_closest
g113,Tell me a joke.,out_of_domain,out_of_domain_fixed
g114,"What EV supply chain role does ""realtruck"" have?",exact_lookup,exact_role
g115,Thank you so much.,no_retrieval,no_retrieval_fixed
g116,"Show companies within 25 miles of ""Gainesville, Hall County"".",geo_search,geo_radius
g117,Which companies have more than 136 employees?,structured_sql,sql_employment_threshold
g118,"Which suppliers are located closest to ""Augusta, Richmond County""?",geo_search,geo_closest
g119,"Describe how companies with a ""Advanced electrical architecture for EVs"" role fit into EV manufacturing.",vector_search,vector_role_topic
g120,"How many companies are classified as ""OEM Footprint""?",structured_sql,sql_category_count
g121,"Describe how companies with a ""OEM corporate and engineering footprint (electrification)"" role fit into EV manufacturing.",vector_search,vector_role_topic
g122,"Where is ""wabash national corp."" located?",exact_lookup,exact_location
g123,"What products or services does ""adient"" provide?",exact_lookup,exact_products
g124,"Describe how companies with a ""EV body, powertrain, and thermal components"" role fit into EV manufacturing.",vector_search,vector_role_topic
g125,"Which ""OEM"" suppliers with a ""Power Electronics"" role have web evidence of recent expansion?",hybrid_search,hybrid_category_evidence
g126,"Find documents that mention the exact phrase ""Switches, resistors and related products"".",keyword_search,keyword_phrase
g127,"What products or services does ""goodyear tire & rubber co."" provide?",exact_lookup,exact_products
